id,url,period,rubric
2c02c48539a8f5bf,https://www.ukrinform.ua/rubric-economy/4055906-cini-na-zoloto-znovu-zrosli-do-4000-za-unciu-cerez-padinna-dolara-ta-satdaun-u-ssa.html,P2,rubric-economy
abee4437089888ad,https://www.ukrinform.ua/rubric-economy/4060578-vid-25-do-4-cerg-grafiki-vidklucen-svitla-u-cetver-diatimut-u-vsih-regionah.html,P2,rubric-economy
6cd958bdb3cbfec4,https://www.ukrinform.ua/rubric-economy/4067134-rosia-postacae-gaz-do-kitau-popri-sankcii-ssa-bloomberg.html,P2,rubric-economy
c5d2f3e770af9557,https://www.ukrinform.ua/rubric-polytics/3704669-agresia-rf-zminila-i-stavlenna-nato-do-ukraini-i-sam-alans-galibarenko.html,P0,rubric-polytics
835066470f292534,https://www.ukrinform.ua/rubric-polytics/3706816-komitet-rekomendue-vr-zakonoproekt-pro-vstanovlenna-8-travna-dnem-pamati-ta-peremogi-nad-nacizmom.html,P0,rubric-polytics
b26f98fd6123d7d5,https://www.ukrinform.ua/rubric-polytics/3709619-ssa-nadavatimut-ukraini-regularni-paketi-dopomogi-vprodovz-nastupnih-misaciv-bilij-dim.html,P0,rubric-polytics
9639e43d31ea67af,https://www.ukrinform.ua/rubric-polytics/3714490-rada-planue-najblizcim-casom-vidnoviti-edeklaruvanna-kornienko.html,P0,rubric-polytics
811ae0c9cc77caac,https://www.ukrinform.ua/rubric-polytics/3726660-smigal-iz-frazi-ukraina-majbutnij-clen-es-nastav-cas-vikresliti-slovo-majbutnij.html,P0,rubric-polytics
9bfbef9735c7d1c1,https://www.ukrinform.ua/rubric-polytics/3727901-dzemilev-putin-nahabno-brehav-sodo-mirnoi-ugodi-v-stambuli.html,P0,rubric-polytics
4f2634c030cc8e99,https://www.ukrinform.ua/rubric-polytics/3749119-glava-mzs-rumunii-zasudila-udari-rf-po-ukrainskih-zernoshovisah.html,P0,rubric-polytics
265b037fec0b826f,https://www.ukrinform.ua/rubric-polytics/3750080-ukraina-ta-rumunia-vidkriut-novij-punkt-propusku-na-kordoni-premeri-pidpisali-ugodu.html,P0,rubric-polytics
ee983654ae080911,https://www.ukrinform.ua/rubric-polytics/3763470-rosia-peretvorue-na-zbrou-prodovolstvo-energiu-deportaciu-ditej-prezident.html,P0,rubric-polytics
4414d2cb4880e22f,https://www.ukrinform.ua/rubric-polytics/3765001-vistup-volodimira-zelenskogo-na-urocistomu-zasidanni-parlamentu-kanadi-povnij-tekst.html,P0,rubric-polytics
817dac12a22eef99,https://www.ukrinform.ua/rubric-polytics/3765331-kandidat-u-prezidenti-ssa-desantis-zaaviv-so-vin-proti-clenstva-ukraini-v-nato.html,P0,rubric-polytics
8f8513f22425a770,https://www.ukrinform.ua/rubric-polytics/3779041-zelenskij-lideram-krain-es-novij-sankcijnij-paket-proti-rf-mae-buti-potuznisim-za-poperedni.html,P0,rubric-polytics
8f673f3f9d4f3507,https://www.ukrinform.ua/rubric-polytics/3786308-kuleba-nazvav-instrumenti-dla-zmicnenna-zvazkiv-iz-krainami-azii-afriki-ta-pivdennoi-ameriki.html,P1,rubric-polytics
2b4bd5db02898a83,https://www.ukrinform.ua/rubric-polytics/3799745-avstria-ne-blokue-vidkritta-peremovin-z-ukrainou-a-vidstoue-poziciu-sodo-insih-krain-stefanisina.html,P1,rubric-polytics
a814502ce0276cde,https://www.ukrinform.ua/rubric-polytics/3806685-golova-obse-zasudiv-masovanu-rosijsku-ataku-z-povitra-na-ukrainu.html,P1,rubric-polytics
71c341bd01fbf754,https://www.ukrinform.ua/rubric-polytics/3814047-slah-do-globalnogo-samitu-miru-vidkritij-smigal.html,P1,rubric-polytics
cdedcc8a857f9d2d,https://www.ukrinform.ua/rubric-polytics/3814220-z-rosieu-treba-mati-bazovu-diplomaticnu-komunikaciu-mzs-cehii.html,P1,rubric-polytics
76aea59628ca73cb,https://www.ukrinform.ua/rubric-polytics/3815815-urad-vnis-zmini-do-strategii-derzavnoi-migracijnoi-politiki-do-2025-roku.html,P1,rubric-polytics
326d32bfce4dcdac,https://www.ukrinform.ua/rubric-polytics/3818425-britania-v-obse-zaklikala-podvoiti-pidtrimku-ukraini.html,P1,rubric-polytics
6273ba6325bbae18,https://www.ukrinform.ua/rubric-polytics/3827236-ukraina-i-francia-proveli-cergovij-raund-peregovoriv-pro-garantii-bezpeki.html,P1,rubric-polytics
59b010193bacf373,https://www.ukrinform.ua/rubric-polytics/3838889-polsa-gotue-45j-paket-dopomogi-dla-ukraini-cikorskij.html,P1,rubric-polytics
0a25f7f46c6bb0c0,https://www.ukrinform.ua/rubric-polytics/3847674-pricker-obgovorue-v-krainah-evropi-dopomogu-ukraini.html,P1,rubric-polytics
372d2f97bd461b76,https://www.ukrinform.ua/rubric-polytics/3848008-garna-propozicia-latvia-pidtrimue-propoziciu-stoltenberga-pro-stvorenna-fondu-pidtrimki-ukraini.html,P1,rubric-polytics
aac350ec903c6278,https://www.ukrinform.ua/rubric-polytics/4014398-zelenskij-pidbiv-pidsumki-konferencii-z-vidnovlenna-u-rimi.html,P2,rubric-polytics
2bd51f3368f29c6b,https://www.ukrinform.ua/rubric-polytics/4019723-vijnu-potribno-zaversiti-zaraz-tureccina-gotova-provesti-zustric-na-rivni-lideriv-erdogan.html,P2,rubric-polytics
ee755797df6f86d1,https://www.ukrinform.ua/rubric-polytics/4024201-senator-grem-pripuskae-mozlivist-obminu-teritoriami-za-umov-nadanna-garantij-ukraini.html,P2,rubric-polytics
4a59f41d20202ae3,https://www.ukrinform.ua/rubric-polytics/4029469-smigal-i-premer-norvegii-vidvidali-pidpriemstvo-z-virobnictva-droniv.html,P2,rubric-polytics
7830a924e4c141f1,https://www.ukrinform.ua/rubric-polytics/4032866-translacii-zasidan-radi-ponovlat-z-nastupnogo-plenarnogo-tizna-urcisin.html,P2,rubric-polytics
b3de4322bcc5dfec,https://www.ukrinform.ua/rubric-polytics/4034664-koordinator-sistemi-oon-v-ukraini-svitlini-udaru-rosii-po-arovij-zahaut-navit-na-vijni-e-pravila.html,P2,rubric-polytics
9810f1297a1eee89,https://www.ukrinform.ua/rubric-polytics/4043140-zelenskij-pro-zustric-iz-trampom-mozlivo-matimemo-sos-bilse-dla-udariv-po-dalekobijnih-cilah.html,P2,rubric-polytics
9679b915584b9ab0,https://www.ukrinform.ua/rubric-polytics/4047787-tramp-vvazae-so-ukraina-hoce-perejti-v-nastup.html,P2,rubric-polytics
c232cf38292ac180,https://www.ukrinform.ua/rubric-polytics/4051600-tramp-vbacae-v-ukraini-partnera-z-biznesovimi-mozlivostami-ekspert.html,P2,rubric-polytics
f9fd4dc6ecc2ab94,https://www.ukrinform.ua/rubric-polytics/4055294-mzs-konvencia-z-prav-ludini-zalisaetsa-vazlivim-instrumentom-pritagnenna-rosii-do-vidpovidalnosti.html,P2,rubric-polytics
